TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_35
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_36
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_36
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_36
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_36
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_37
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_37
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_37
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_37
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_38
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_38
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_38
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_38
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_39
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_39
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_39
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_39
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_40
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_40
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_40
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_40
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_41
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_41
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_41
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_41
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_42
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_42
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_42
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_42
