TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME
AdventureWorks2014	Production	ProductDocument	ModifiedDate
AdventureWorks2014	Production	ProductDocument	ProductID
AdventureWorks2014	dbo	DatabaseLog	DatabaseLogID
AdventureWorks2014	dbo	DatabaseLog	DatabaseUser
AdventureWorks2014	dbo	DatabaseLog	Event
AdventureWorks2014	dbo	DatabaseLog	Object
AdventureWorks2014	dbo	DatabaseLog	PostTime
AdventureWorks2014	dbo	DatabaseLog	Schema
AdventureWorks2014	dbo	DatabaseLog	TSQL
AdventureWorks2014	dbo	DatabaseLog	XmlEvent
AdventureWorks2014	Production	ProductInventory	Bin
AdventureWorks2014	Production	ProductInventory	LocationID
AdventureWorks2014	Production	ProductInventory	ModifiedDate
AdventureWorks2014	Production	ProductInventory	ProductID
AdventureWorks2014	Production	ProductInventory	Quantity
AdventureWorks2014	Production	ProductInventory	rowguid
AdventureWorks2014	Production	ProductInventory	Shelf
AdventureWorks2014	Sales	SpecialOffer	Category
AdventureWorks2014	Sales	SpecialOffer	Description
AdventureWorks2014	Sales	SpecialOffer	DiscountPct
AdventureWorks2014	Sales	SpecialOffer	EndDate
AdventureWorks2014	Sales	SpecialOffer	MaxQty
AdventureWorks2014	Sales	SpecialOffer	MinQty
AdventureWorks2014	Sales	SpecialOffer	ModifiedDate
AdventureWorks2014	Sales	SpecialOffer	rowguid
AdventureWorks2014	Sales	SpecialOffer	SpecialOfferID
AdventureWorks2014	Sales	SpecialOffer	StartDate
AdventureWorks2014	Sales	SpecialOffer	Type
AdventureWorks2014	dbo	ErrorLog	ErrorLine
AdventureWorks2014	dbo	ErrorLog	ErrorLogID
AdventureWorks2014	dbo	ErrorLog	ErrorMessage
AdventureWorks2014	dbo	ErrorLog	ErrorNumber
AdventureWorks2014	dbo	ErrorLog	ErrorProcedure
AdventureWorks2014	dbo	ErrorLog	ErrorSeverity
AdventureWorks2014	dbo	ErrorLog	ErrorState
AdventureWorks2014	dbo	ErrorLog	ErrorTime
AdventureWorks2014	dbo	ErrorLog	UserName
AdventureWorks2014	Production	ProductListPriceHistory	EndDate
AdventureWorks2014	Production	ProductListPriceHistory	ListPrice
AdventureWorks2014	Production	ProductListPriceHistory	ModifiedDate
AdventureWorks2014	Production	ProductListPriceHistory	ProductID
AdventureWorks2014	Production	ProductListPriceHistory	StartDate
AdventureWorks2014	Person	Address	AddressID
AdventureWorks2014	Person	Address	AddressLine1
AdventureWorks2014	Person	Address	AddressLine2
AdventureWorks2014	Person	Address	City
